epoch,loss,val_loss
0,3.8520292437076566,3.226515167306488
1,3.0611358551979064,2.8837613930147903
2,2.777745544195175,2.766284265936447
3,2.5918447432518006,2.642373932445142
4,2.4816222548484803,2.571295489176521
5,2.412975359201431,2.5200784202455155
6,2.370307816028595,2.6371336880508274
7,2.315874161720276,2.4432506562965823
8,2.2902997117042543,2.381233815622903
9,2.2607433049678805,2.5544567535407587
10,2.240059101104736,2.4694780631044004
11,2.2323560515642167,2.404863192545471
12,2.1961179715394974,2.40827994671556
13,2.1790676440000536,2.4844818744589716
14,2.180927027583122,2.322889308467335
15,2.161906315088272,2.4580963070565196
16,2.1533419374227525,2.3597140415072917
17,2.144438363075256,2.534652452203525
18,2.1282241158485413,2.336484390507046
19,2.114793829917908,2.3645460859443523
20,3.9353645021915438,3.2162477039723036
